tag	category	total	roms	images
Songbird	NeedsReview	3	0	3
Special Edition	NeedsReview	3	0	3
SuperVision	NeedsReview	3	2	1
TKROM	NeedsReview	3	3	0
TND - 2019	NeedsReview	3	3	0
Taito	NeedsReview	3	1	2
Tech Demo	NeedsReview	3	1	2
Test Drive	NeedsReview	3	0	3
Thunder Storm	NeedsReview	3	0	3
Track 1	NeedsReview	3	3	0
Track 2	NeedsReview	3	3	0
Track 22	NeedsReview	3	3	0
Track 23	NeedsReview	3	3	0
Traditional	NeedsReview	3	2	1
Trial Edition	NeedsReview	3	2	1
Tsang Hai	NeedsReview	3	3	0
UNROM-512	NeedsReview	3	3	0
USA, Asia	Region	3	1	2
USA, Japan	Region	3	0	3
Un-Worked Design Patch by Lipemco! Translations - NA	TranslationCredit	3	3	0
You	NeedsReview	3	0	3
emu	NeedsReview	3	0	3
v0.11	Revision	3	3	0
v0.13	Revision	3	3	0
v0.14	Revision	3	3	0
v0.15	Revision	3	3	0
v0.16	Revision	3	3	0
v0.21	Revision	3	3	0
v1.0.2	Revision	3	3	0
v1.0.6	Revision	3	3	0
v1.03	Revision	3	3	0
v1.05	Revision	3	3	0
v1.9	Revision	3	3	0
v3.0	Revision	3	2	1
v3.3	Revision	3	0	3
v4.0	Revision	3	2	1
v5.1	Revision	3	2	1
0100396	NeedsReview	2	1	1
0100551	NeedsReview	2	1	1
047	NeedsReview	2	1	1
09-034A PCB	NeedsReview	2	1	1
10.13-10.15 Incl.	NeedsReview	2	0	2
15S	NeedsReview	2	0	2
16 Fighters	NeedsReview	2	1	1
16 People	NeedsReview	2	2	0
1983-01-20	Date	2	0	2
1983-04-07	Date	2	0	2
1983-06-03	Date	2	0	2
1983-09-14	Date	2	0	2
1983-09-20	Date	2	0	2
1983-10-13	Date	2	0	2
1984-01-05	Date	2	0	2
1984-01-13	Date	2	0	2
1984-03-15	Date	2	0	2
1986-06-30	Date	2	1	1
1989-02-23	Date	2	1	1
1989-05-29	Date	2	1	1
1989-12-22	Date	2	1	1
1989-12-xx	NeedsReview	2	1	1
1990-01-18	Date	2	1	1
1990-03-02	Date	2	1	1
1990-03-07	Date	2	1	1
1990-07-04	Date	2	1	1
1990-08-02	Date	2	1	1
1990-08-20	Date	2	1	1
1990-08-23	Date	2	1	1
1990-08-30	Date	2	1	1
1990-09-10	Date	2	1	1
1990-12-28	Date	2	0	2
1991-01-31	Date	2	1	1
1991-04-22	Date	2	1	1
1991-05-06	Date	2	1	1
1991-05-16	Date	2	1	1
1992-08-27	Date	2	1	1
1992-12-10	Date	2	0	2
1993-02-17	Date	2	0	2
1993-05-28	Date	2	2	0
1994-05-30	Date	2	0	2
1994-10-07	Date	2	0	2
1995-04-24	Date	2	0	2
1995-06-12	Date	2	0	2
1995-09-07	Date	2	0	2
1995-09-21	Date	2	0	2
1995-10-03	Date	2	0	2
1995-10-25	Date	2	0	2
1996-02-02	Date	2	0	2
1996-04-11	Date	2	0	2
1996-07-16	Date	2	0	2
1996-11-08	Date	2	0	2
1997-10-31	Date	2	0	2
1998-02-12	Date	2	0	2
1998-02-20	Date	2	0	2
1998-03-10	Date	2	0	2
1998-05-07	Date	2	0	2
1998-06-22	Date	2	0	2
1998-07-16	Date	2	0	2
1998-07-22	Date	2	0	2
1998-12-11	Date	2	0	2
1999-02-03	Date	2	0	2
1999-02-22	Date	2	0	2
1999-09-19	Date	2	0	2
1999-10-07	Date	2	0	2
1999-11-02	Date	2	0	2
1A	NeedsReview	2	0	2
2 Games	Label	2	0	2
2000-02-18	Date	2	0	2
2000-03-22	Date	2	0	2
2000-04-27	Date	2	0	2
2000-06-06	Date	2	0	2
2000-07-10	Date	2	0	2
2000-07-25	Date	2	0	2
2000-08-26	Date	2	0	2
2000-09-01	Date	2	0	2
2000-11-21	Date	2	0	2
2001-02-09	Date	2	0	2
2001-03-13	Date	2	0	2
2002 Version - EU	NeedsReview	2	2	0
200314121	NeedsReview	2	1	1
2003SR7416	NeedsReview	2	1	1
2019-03-11	Date	2	2	0
2021-02-22	Date	2	2	0
2021-03-30	Date	2	2	0
2023-01-09	Date	2	2	0
2023-01-10	Date	2	2	0
2023-04-18	Date	2	2	0
2023-05-17	Date	2	2	0
2023-06-09	Date	2	2	0
2023-07-16	Date	2	2	0
2023-07-23	Date	2	2	0
2023-07-26	Date	2	2	0
2023-08-05	Date	2	2	0
21M	NeedsReview	2	0	2
2A	NeedsReview	2	0	2
2B	NeedsReview	2	0	2
3DO Action Pak	Platform	2	0	2
4 characters	NeedsReview	2	1	1
4-G	NeedsReview	2	2	0
4-in-1	NeedsReview	2	0	2
5S, 6S	NeedsReview	2	0	2
6S	NeedsReview	2	0	2
761214 PCB	NeedsReview	2	1	1
8 Fighters	NeedsReview	2	1	1
8 characters	NeedsReview	2	1	1
8-bit Adventure Anthology - Volume I	NeedsReview	2	0	2
960100549	NeedsReview	2	1	1
970100588	NeedsReview	2	1	1
970100681	NeedsReview	2	1	1
970260	NeedsReview	2	1	1
970307	NeedsReview	2	1	1
970498	NeedsReview	2	1	1
980005	NeedsReview	2	1	1
980186	NeedsReview	2	1	1
981208	NeedsReview	2	1	1
A	NeedsReview	2	0	2
A-N7	NeedsReview	2	1	1
A-N8	NeedsReview	2	1	1
A-Q3	NeedsReview	2	2	0
AB CARD-15	NeedsReview	2	1	1
AP009	NeedsReview	2	1	1
Action 53 Version	NeedsReview	2	2	0
Age of Empires	NeedsReview	2	2	0
Alternative Software	NeedsReview	2	2	0
ArchiMENdes Hen	NeedsReview	2	1	1
Arlasoft - 2020	NeedsReview	2	2	0
Arlasoft - 2022	NeedsReview	2	2	0
Asder	NeedsReview	2	2	0
Audio Fix Patch by Justin Gibbins - JP	HackOrPatchCredit	2	2	0
Audio Remaster Patch by Dark City Productions - JP	HackOrPatchCredit	2	2	0
B	NeedsReview	2	0	2
Bandai the Best	NeedsReview	2	0	2
Bensheng	NeedsReview	2	2	0
Beta 30	Preview	2	0	2
Bit Corp.	NeedsReview	2	0	2
Blue Version	NeedsReview	2	1	1
Brazil, Spain	Region	2	1	1
Build 132	NeedsReview	2	2	0
C	NeedsReview	2	0	2
CK-001	NeedsReview	2	1	1
CRL	NeedsReview	2	2	0
Can Bani Himekuri Calendar	NeedsReview	2	0	2
Carleton Handley - 2020	NeedsReview	2	2	0
Centaurus	NeedsReview	2	2	0
Chiki-Chiki Dog	NeedsReview	2	1	1
Chronicles of Arthur	NeedsReview	2	0	2
Claire-hen	NeedsReview	2	0	2
Co Tung	NeedsReview	2	1	1
Color Dreams	NeedsReview	2	1	1
Commodore	NeedsReview	2	2	0
Competition Cart, Nintendo Power mail-order	NeedsReview	2	0	2
Compilation by Meduza Team, Rev 2.51	NeedsReview	2	2	0
Conector	NeedsReview	2	1	1
Controller Doukon Set	NeedsReview	2	0	2
Cony Soft	NeedsReview	2	2	0
Creative Software	NeedsReview	2	2	0
DS Cheat Cartridge	HackOrPatchCredit	2	0	2
DSI	NeedsReview	2	0	2
DX	NeedsReview	2	1	1
DX Pack	NeedsReview	2	0	2
De+En,Fr,De,Es,It,Nl,Sv,Da	NeedsReview	2	0	2
Demo 4	Preview	2	2	0
Demo 5c	Preview	2	2	0
DigiCube Best Selection	NeedsReview	2	0	2
Digital Release	NeedsReview	2	2	0
Disc-B	Disc	2	0	2
Disc-F	Disc	2	0	2
Disk 1 - JP	Disc+Region	2	2	0
Disk 2 - JP	Disc+Region	2	2	0
Disk 5	Disc	2	2	0
Disk 6	Disc	2	2	0
Disk 7	Disc	2	2	0
Double Density - 1990	NeedsReview	2	2	0
Doukonban	NeedsReview	2	0	2
Dracula Detective	NeedsReview	2	0	2
Dragon Quest IV	NeedsReview	2	2	0
Dual Shock Edition	NeedsReview	2	0	2
ECP	NeedsReview	2	2	0
EJ-4003	NeedsReview	2	1	1
EPROM	NeedsReview	2	1	1
EU - NTSC Conversion by Sakitoshi, Rev 1.3	NeedsReview	2	2	0
EU, Rev 1 - Disc 1	Disc+Region+Revision	2	2	0
EU, Rev 1 - Disc 2	Disc+Region+Revision	2	2	0
Easy Version	NeedsReview	2	1	1
Easy Zapping	NeedsReview	2	0	2
Elite	NeedsReview	2	2	0
En,Ar	Language	2	2	0
En,De,Sv	Language	2	0	2
En,Es,It,Sv	Language	2	0	2
En,Es,Nl	Language	2	0	2
En,Es,Pt	Language	2	0	2
En,Es,Sv	Language	2	0	2
En,Fr,De+En,Fr,De,Es	NeedsReview	2	0	2
En,Fr,De,Es,Fi	Language	2	0	2
En,Fr,De,Es,It,Nl,Ca	Language	2	0	2
En,Fr,De,Es,It,Nl,Sv,No,Da	Language	2	0	2
En,Fr,De,It,Sv,No,Da,Fi	Language	2	0	2
En,Fr,Es,It,Sv	Language	2	0	2
En,Ja,Zh-Hant	NeedsReview	2	0	2
En,Ko	Language	2	0	2
En,Nl,Da	Language	2	0	2
En,Nl,Sv	Language	2	0	2
En,Sv	Language	2	0	2
En,Sv,Da,Fi	Language	2	1	1
En,Sv,No,Da,Fi	Language	2	0	2
Ending Credits Program	NeedsReview	2	1	1
English Translated by AgentOrange and MrRichard999	TranslationCredit	2	2	0
English Translated by Chapu	TranslationCredit	2	2	0
English Translated by Chapu, Rev 1.1	TranslationCredit	2	2	0
English Translated by Dave Shadoff, Filler, MooZ, and Diogo Ribeiro	TranslationCredit	2	2	0
English Translated by Derek Pascarella	TranslationCredit	2	2	0
English Translated by MZ, Rev 0.01	TranslationCredit	2	2	0
English Translated by Malenko, Rev 0.91	TranslationCredit	2	2	0
English Translated by Mr.Nobody	TranslationCredit	2	2	0
English Translated by Nebulous Translations	TranslationCredit	2	2	0
English Translated by SnowyAria	TranslationCredit	2	2	0
English Translated by Spinner 8 and Friends	TranslationCredit	2	2	0
English Translated by Supper	TranslationCredit	2	2	0
English Translated, Rev 0.98	TranslationCredit	2	2	0
English Translated, Rev 0.99, by AgentOrange and Jink640	TranslationCredit	2	2	0
English Translated, Rev 0.99, by Dave Shadoff	TranslationCredit	2	2	0
English Translated, Rev 1.01, by Stardust Crusaders	TranslationCredit	2	2	0
Enhanced	NeedsReview	2	1	1
Episode 1 - Tsuki no Shinden	NeedsReview	2	0	2
Episode 2 - Shitou! Wily Numbers	NeedsReview	2	0	2
Episode 3 - Saigo no Tatakai!!	NeedsReview	2	0	2
Es+En,Fr,De,Es,It,Nl,Sv,Da	NeedsReview	2	0	2
Europe, Hong Kong	Region	2	1	1
Europe, Korea	Region	2	0	2
EverQuest	NeedsReview	2	2	0
FAAT, FACT	NeedsReview	2	0	2
FC-28 5027	NeedsReview	2	1	1
FK-8380	NeedsReview	2	1	1
Fast Tanks	NeedsReview	2	0	2
Fine Studio	NeedsReview	2	1	1
Fr+En,Fr,De,Es,It,Nl,Sv,Da	NeedsReview	2	0	2
Fr,Cs	Language	2	0	2
Fr,De,It	Language	2	0	2
Fr,Es,It,Pt	Language	2	0	2
From Tokimeki Memorial - JP	NeedsReview	2	2	0
Front Mission History	NeedsReview	2	0	2
GB Showdown	NeedsReview	2	0	2
GDI Disc	NeedsReview	2	0	2
GOG	Platform	2	0	2
Ge	NeedsReview	2	1	1
Ge De	NeedsReview	2	1	1
Genteiban!	NeedsReview	2	1	1
Gouder	NeedsReview	2	1	1
Grand Trial Onnanoco	NeedsReview	2	0	2
Green Disc	NeedsReview	2	0	2
Hi-Tec - Unreleased	NeedsReview	2	2	0
Hibaihin	NeedsReview	2	0	2
Hilarious AI English Dub by Sideside	NeedsReview	2	2	0
Honpen Game Sen'you	NeedsReview	2	0	2
Hoshi no Kirby - 20 Shuunen Special Collection	NeedsReview	2	0	2
Ichi	NeedsReview	2	0	2
Incube8 Games	Label	2	0	2
Intellivision	Platform	2	2	0
International Version	NeedsReview	2	0	2
Ireland	Region	2	0	2
Israel	Region	2	0	2
It+En,Fr,De,Es,It,Nl,Sv,Da	NeedsReview	2	0	2
J-C5	NeedsReview	2	1	1
JP - Disc 1 - Time Gal	NeedsReview	2	2	0
JP - Disc 2 - Ninja Hayate	NeedsReview	2	2	0
JP - Disc 2 - Road Blaster	NeedsReview	2	2	0
JP - Disc 4	Disc+Region	2	2	0
JP - English Translated by Cirosan With The Chilling Cut Patch by Darkanioid1997	TranslationCredit	2	1	1
JP - Flash Removal Patch by Privateye	HackOrPatchCredit	2	2	0
JP, Rev 4	Region+Revision	2	2	0
JP, Rev 5	Region+Revision	2	2	0
Japan, Europe, Brazil	Region	2	0	2
Japan, USA, Brazil	Region	2	0	2
Japanese	NeedsReview	2	2	0
Japanese Version	NeedsReview	2	0	2
Java Tea Original	NeedsReview	2	0	2
K-F1	NeedsReview	2	1	1
KS-7017	NeedsReview	2	2	0
KS-7050	NeedsReview	2	2	0
Kemco	NeedsReview	2	1	1
Kids Station Controller Set	NeedsReview	2	0	2
Kirby's Dream Collection - Special Edition	NeedsReview	2	0	2
Ko	Language	2	0	2
Kor	Region	2	2	0
Koudansha Rengou Kikaku Tokubetsu Disc	NeedsReview	2	0	2
Kyugo	NeedsReview	2	1	1
LA02	NeedsReview	2	2	0
LA21	NeedsReview	2	2	0
LC Games - 2022	NeedsReview	2	2	0
LH31	NeedsReview	2	2	0
Launch Cart	NeedsReview	2	0	2
Leon-hen	NeedsReview	2	0	2
Let's Surogoku	NeedsReview	2	0	2
Ludum Dare 38	NeedsReview	2	2	0
Ludum Dare 49	NeedsReview	2	2	0
M-O9	NeedsReview	2	1	1
MAX v02	NeedsReview	2	2	0
Made in E.U.	NeedsReview	2	0	2
Made in U.S.A.	NeedsReview	2	0	2
Mars Production	NeedsReview	2	1	1
Mega Drive Mini 2, Genesis Mini 2, Toaplan Arcade Garage	Platform	2	0	2
Mega Man X Collection	NeedsReview	2	0	2
Mega Power, Sega Pro	NeedsReview	2	0	2
Megastyle - 2022	NeedsReview	2	2	0
Meinu Quan	NeedsReview	2	1	1
Menu	NeedsReview	2	0	2
Midway Classics	NeedsReview	2	0	2
Mr Micro	NeedsReview	2	2	0
NA - Content Restoration Patch by RealGaea, Rev 1.2 3b - Arcade Remix Version	HackOrPatchCredit	2	2	0
NA - Content Restoration Patch by SCD, Rev Final	HackOrPatchCredit	2	2	0
NA - Disc 1 - Allies	NeedsReview	2	2	0
NA - Disc 1 - GDI	NeedsReview	2	2	0
NA - Disc 1 - Un-Working Designs Patch by Supper	HackOrPatchCredit	2	2	0
NA - Disc 2 - NOD	NeedsReview	2	2	0
NA - Disc 2 - Soviet	NeedsReview	2	2	0
NA - Disc 2 - Un-Working Designs Patch by Supper	HackOrPatchCredit	2	2	0
NA - FastROM Hack by Kandowontu, Rev 1.2	HackOrPatchCredit	2	2	0
NA - Japanese Features Restoration Patch by SCD, Rev Final	HackOrPatchCredit	2	2	0
NA - Project Pro Skater Volume 4 Patch by Casey Mongillo	HackOrPatchCredit	2	2	0
NA - Secret Characters Unlocked Patch by Docrow	HackOrPatchCredit	2	2	0
NA - Undub Patch by Swosho	HackOrPatchCredit	2	2	0
NA, Rev 1 - Disc 3	Disc+Region+Revision	2	2	0
NA, Rev 1 - Disc 4	Disc+Region+Revision	2	2	0
NES-N7	NeedsReview	2	1	1
NESDev 2011	NeedsReview	2	2	0
NESDev 2014	NeedsReview	2	2	0
NESDev 2018	NeedsReview	2	2	0
NOD Disc	NeedsReview	2	0	2
NROM	NeedsReview	2	2	0
NT-6079	NeedsReview	2	1	1
NT-6088	NeedsReview	2	1	1
NT-622	NeedsReview	2	1	1
NT-656	NeedsReview	2	1	1
Namco Anthology 1	NeedsReview	2	1	1
Nanjing	NeedsReview	2	2	0
Nei-Hu	NeedsReview	2	1	1
Nescafe-ban	NeedsReview	2	0	2
Ni	NeedsReview	2	0	2
Ninja Hayate	NeedsReview	2	0	2
NintendoAge	NeedsReview	2	2	0
Nioreh	NeedsReview	2	2	0
Nl,Pt	Language	2	0	2
No Sound	NeedsReview	2	2	0
Normalized	NeedsReview	2	2	0
Otameshi Disc	NeedsReview	2	0	2
PAL-MA-0	NeedsReview	2	1	1
PAL-MC-0, Classic Series	NeedsReview	2	1	1
PCB	NeedsReview	2	2	0
Part A	NeedsReview	2	0	2
Part B	NeedsReview	2	0	2
Part One	NeedsReview	2	0	2
Part Two	NeedsReview	2	0	2
Password Version	NeedsReview	2	0	2
Pl	Language	2	2	0
Pokemon Box	NeedsReview	2	0	2
Preliminary Speed Version	NeedsReview	2	2	0
Preview Edition by Namco	NeedsReview	2	0	2
Princess Kurara	NeedsReview	2	0	2
Project EGG	NeedsReview	2	1	1
Proto 5	Preview	2	0	2
Psytronik - 2012	NeedsReview	2	2	0
Psytronik - 2016	NeedsReview	2	2	0
Putative Proto	NeedsReview	2	0	2
R-B1	NeedsReview	2	1	1
RC.2	NeedsReview	2	2	0
RCM Group	NeedsReview	2	1	1
RE3	NeedsReview	2	0	2
Rabbit Software	NeedsReview	2	2	0
Ratalaika Games	Label	2	0	2
Red Art Games	Label	2	0	2
Reinhart Version	NeedsReview	2	0	2
Renkaban	NeedsReview	2	0	2
Rev 1.2	Revision	2	1	1
Rev 1.4	Revision	2	1	1
Rev 10	Revision	2	0	2
Rev 8	Revision	2	0	2
S-R2	NeedsReview	2	1	1
SA-002 3011 PCB	NeedsReview	2	1	1
SA-016 PCB	NeedsReview	2	1	1
SABS	NeedsReview	2	0	2
SCUS-94489	NeedsReview	2	0	2
SGROM	NeedsReview	2	2	0
SN 406	NeedsReview	2	1	1
SNS-XM	NeedsReview	2	0	2
Samar Productions	NeedsReview	2	2	0
Scott Holder	NeedsReview	2	2	0
Sega Smash Pack 2	NeedsReview	2	0	2
SegaNet	NeedsReview	2	0	2
Shindou Edition	NeedsReview	2	0	2
Shockwave - Invasion Earth	NeedsReview	2	0	2
Shockwave - Operation Jumpgate	NeedsReview	2	0	2
Shokai Gentei Deluxe Pack	NeedsReview	2	0	2
Shokai Gentei Seisanban	NeedsReview	2	0	2
Shokai Gentei Special Box	NeedsReview	2	0	2
Shokai Tokuten Reinhart Genteiban	NeedsReview	2	0	2
Shokai Tokuten Yan Genteiban	NeedsReview	2	0	2
Shouhin Golf Tournament US Course	NeedsReview	2	1	1
Simultaneous 2 Player Game	NeedsReview	2	0	2
Sonic Mega Collection	NeedsReview	2	0	2
Sound Data	NeedsReview	2	2	0
Sovietiques	NeedsReview	2	0	2
Space General	NeedsReview	2	2	0
Spike Library	NeedsReview	2	0	2
Star Fox - Assault	NeedsReview	2	0	2
Subor	NeedsReview	2	1	1
Sumaru TV Special Preview Disc	NeedsReview	2	0	2
Super 308	NeedsReview	2	1	1
Super Mario All-Stars - 25th Anniversary	NeedsReview	2	0	2
Super Mega Drive 3	NeedsReview	2	0	2
Supercom	NeedsReview	2	1	1
Sv	Language	2	2	0
Sv,No,Da,Fi	Language	2	0	2
T-A1	NeedsReview	2	1	1
TGROM	NeedsReview	2	2	0
TND - 2000	NeedsReview	2	2	0
TND - 2001	NeedsReview	2	2	0
TND - 2002	NeedsReview	2	2	0
TND - 2005	NeedsReview	2	2	0
TND - 2013	NeedsReview	2	2	0
TND - 2015	NeedsReview	2	2	0
TND - 2016	NeedsReview	2	2	0
TND - 2017	NeedsReview	2	2	0
TND - 2023	NeedsReview	2	2	0
TONY-I PCB	NeedsReview	2	1	1
Taisen Game Sen'you	NeedsReview	2	0	2
The First Generation	NeedsReview	2	0	2
The Making of	NeedsReview	2	0	2
The Power House	NeedsReview	2	2	0
Time Gal	NeedsReview	2	0	2
Track 24	NeedsReview	2	2	0
Track 25	NeedsReview	2	2	0
Track 26	NeedsReview	2	2	0
Track 27	NeedsReview	2	2	0
Track 28	NeedsReview	2	2	0
Track 29	NeedsReview	2	2	0
Track 3	NeedsReview	2	2	0
Track 30	NeedsReview	2	2	0
Track 31	NeedsReview	2	2	0
Track 32	NeedsReview	2	2	0
Track 33	NeedsReview	2	2	0
Track 34	NeedsReview	2	2	0
Track 35	NeedsReview	2	2	0
Track 36	NeedsReview	2	2	0
Track 37	NeedsReview	2	2	0
Track 38	NeedsReview	2	2	0
USA Wii Virtual Console, Wii U Virtual Console	Platform	2	1	1
Un-Worked Design Patch by Supper - NA	HackOrPatchCredit	2	2	0
V1.00D	Revision	2	2	0
V3	Revision	2	2	0
VPick Included	NeedsReview	2	0	2
Vector5 Games - 2022	NeedsReview	2	2	0
Version 4	NeedsReview	2	0	2
Very Easy Version	NeedsReview	2	1	1
Victor	NeedsReview	2	1	1
Visual Demo	NeedsReview	2	2	0
Vivendi	NeedsReview	2	0	2
Vol. 1 - Toki no Maigo	NeedsReview	2	0	2
Wings of Destiny	NeedsReview	2	0	2
Xianfeng	NeedsReview	2	2	0
YS-612 PCB	NeedsReview	2	1	1
YUNG-08 PCB	NeedsReview	2	1	1
Ya Se Chuanshuo	NeedsReview	2	0	2
Yi	Language	2	1	1
Young Chivalry	NeedsReview	2	2	0
Zeppelin Games	Label	2	2	0
Zh-Hans	NeedsReview	2	0	2
Zh-Hant	NeedsReview	2	0	2
Zhenhua	NeedsReview	2	2	0
ghostlop	NeedsReview	2	2	0
ironclad	NeedsReview	2	2	0
japan	Region	2	0	2
proto	Preview	2	2	0
set 3	NeedsReview	2	2	0
v0.06	Revision	2	1	1
v0.08	Revision	2	2	0
v0.09	Revision	2	2	0
v0.1.2	Revision	2	1	1
v0.10	Revision	2	2	0
v0.17	Revision	2	2	0
v0.18	Revision	2	2	0
v0.19	Revision	2	2	0
v0.1c	Revision	2	2	0
v0.20	Revision	2	2	0
v0.22	Revision	2	2	0
v0.28	Revision	2	1	1
v0.29	Revision	2	0	2
v0.3	Revision	2	1	1
v0.3.4	Revision	2	2	0
v0.4	Revision	2	2	0
v0.45	Revision	2	2	0
v0.46	Revision	2	2	0
v0.47	Revision	2	2	0
v0.6	Revision	2	2	0
v0.60	Revision	2	2	0
v0.980	Revision	2	2	0
v02	Revision	2	2	0
v06	Revision	2	0	2
v1.0.3	Revision	2	2	0
v1.0.4	Revision	2	2	0
v1.0.5	Revision	2	2	0
v1.06	Revision	2	2	0
v1.1.0	Revision	2	2	0
v1.2.0	Revision	2	2	0
v1.30	Revision	2	2	0
v2.0.0	Revision	2	2	0
v2.0.1	Revision	2	2	0
v2.01	Revision	2	2	0
v2.03	Revision	2	2	0
v2.11	Revision	2	0	2
v2.110	Revision	2	2	0
v2.2	Revision	2	1	1
v2.3	Revision	2	0	2
v2.6	Revision	2	0	2
v3.1	Revision	2	0	2
v3.11.088	Revision	2	1	1
v3.12.027	Revision	2	1	1
v3.6	Revision	2	1	1
v5.01.033	Revision	2	1	1
v6.02.001	Revision	2	1	1
v6.02.002	Revision	2	1	1
v6.1	Revision	2	1	1
v9.03.128	Revision	2	1	1
vA1	NeedsReview	2	0	2
www.retroPLAYER.nl	NeedsReview	2	2	0
'94.9.1 Version 1.0	NeedsReview	1	0	1
'95.8.1 Version 1.0 R2.0	NeedsReview	1	0	1
'96 Tokyo Omocha Show	NeedsReview	1	0	1
0.10b	NeedsReview	1	1	0
0.26	NeedsReview	1	1	0
0100382	NeedsReview	1	1	0
0100703	NeedsReview	1	1	0
0100705	NeedsReview	1	1	0
0100725	NeedsReview	1	1	0
05838962	NeedsReview	1	0	1
1 EPROM	NeedsReview	1	0	1
10.11-10.13 Incl.	NeedsReview	1	0	1
10M, 11M	NeedsReview	1	0	1
10M, 11M, 12M, 13M	NeedsReview	1	0	1
10M, 12M	NeedsReview	1	0	1
10S	NeedsReview	1	0	1
12S	NeedsReview	1	0	1
150-in-1 Real Game	NeedsReview	1	1	0
15M	NeedsReview	1	0	1
18 Fighter	NeedsReview	1	1	0
1978-08-07	Date	1	0	1
1982	NeedsReview	1	0	1
1982 Version	NeedsReview	1	1	0
1982-04-04	Date	1	0	1
1982-08-12	Date	1	0	1
1982-08-18	Date	1	0	1
1982-08-26	Date	1	0	1
1982-11-05	Date	1	0	1
1982-11-19	Date	1	0	1
1982-12-05	Date	1	0	1
1982-12-08	Date	1	0	1
1982-12-15	Date	1	0	1
1982-12-17	Date	1	0	1
1982-12-22	Date	1	0	1
1983	NeedsReview	1	0	1
1983-01-05	Date	1	0	1
1983-02-01	Date	1	0	1
1983-02-04	Date	1	0	1
1983-02-11	Date	1	0	1
1983-02-17	Date	1	0	1
1983-02-23	Date	1	0	1
1983-02-25	Date	1	0	1
1983-03-09	Date	1	0	1
1983-03-21	Date	1	0	1
1983-03-28	Date	1	0	1
1983-04-11	Date	1	0	1
1983-04-14	Date	1	0	1
1983-05-03	Date	1	0	1
1983-05-06	Date	1	0	1
1983-05-10	Date	1	0	1
1983-05-12	Date	1	0	1
1983-05-17	Date	1	0	1
1983-05-18	Date	1	0	1
1983-05-27	Date	1	0	1
1983-06-01	Date	1	0	1
1983-06-02	Date	1	0	1
1983-06-12	Date	1	0	1
1983-06-15	Date	1	0	1
1983-06-18	Date	1	0	1
1983-06-20	Date	1	0	1
1983-06-24	Date	1	0	1
1983-07-04	Date	1	0	1
1983-07-06	Date	1	0	1
1983-07-16	Date	1	0	1
1983-07-19	Date	1	0	1
1983-07-27	Date	1	0	1
1983-07-31	Date	1	0	1
1983-08-02	Date	1	0	1
1983-08-03	Date	1	0	1
1983-08-10	Date	1	0	1
1983-08-12	Date	1	0	1
1983-08-15	Date	1	0	1
1983-08-25	Date	1	0	1
1983-08-30	Date	1	0	1
1983-08-31	Date	1	0	1
1983-08-xx	NeedsReview	1	0	1
1983-09-02	Date	1	0	1
1983-09-15	Date	1	0	1
1983-09-19	Date	1	0	1
1983-09-30	Date	1	0	1
1983-10-12	Date	1	0	1
1983-10-31	Date	1	0	1
1983-11-03	Date	1	0	1
1983-11-15	Date	1	0	1
1983-11-16	Date	1	0	1
1983-11-23	Date	1	0	1
1983-12-16	Date	1	0	1
1983-12-20	Date	1	0	1
1983-12-29	Date	1	0	1
1983-xx-xx	NeedsReview	1	0	1
1984-01-18	Date	1	0	1
1984-01-20	Date	1	0	1
1984-01-26	Date	1	0	1
1984-01-31	Date	1	0	1
1984-02-29	Date	1	0	1
1984-04-12	Date	1	0	1
1984-04-13	Date	1	0	1
1984-04-18	Date	1	0	1
1984-04-20	Date	1	0	1
1984-04-23	Date	1	0	1
1984-05-02	Date	1	0	1
1984-05-08	Date	1	0	1
1984-05-10	Date	1	0	1
1984-05-15	Date	1	0	1
1984-05-21	Date	1	0	1
1984-06-15	Date	1	0	1
1984-06-22	Date	1	0	1
1984-09-13	Date	1	0	1
1987-02-23	Date	1	0	1
1987-03-09	Date	1	0	1
1987-03-25	Date	1	0	1
1987-05-01	Date	1	0	1
1987-12-16	Date	1	0	1
1988-04-29	Date	1	0	1
1988-05-20	Date	1	1	0
1988-06-04	Date	1	0	1
1988-10-13	Date	1	0	1
1988-11-xx	NeedsReview	1	0	1
1989-02-05	Date	1	1	0
1989-03-03	Date	1	0	1
1989-05-25	Date	1	1	0
1989-06-01	Date	1	0	1
1989-06-02	Date	1	0	1
1989-10-20	Date	1	0	1
1989-12-24	Date	1	0	1
1989-xx-xx	NeedsReview	1	1	0
1990-01-12	Date	1	0	1
1990-02-02	Date	1	1	0
1990-03-30	Date	1	0	1
1990-04-27	Date	1	1	0
1990-04-28	Date	1	1	0
1990-05-08	Date	1	1	0
1990-05-15	Date	1	1	0
1990-05-22	Date	1	0	1
1990-06-04	Date	1	0	1
1990-07-03	Date	1	1	0
1990-07-09	Date	1	0	1
1990-09-26	Date	1	0	1
1990-11-07	Date	1	0	1
1990-11-12	Date	1	0	1
1991	NeedsReview	1	1	0
1991-01-23	Date	1	0	1
1991-01-30	Date	1	0	1
1991-03-18	Date	1	0	1
1991-05-02	Date	1	0	1
1991-05-03	Date	1	0	1
1991-05-15	Date	1	0	1
1991-05-20	Date	1	0	1
1991-07-03	Date	1	0	1
1991-07-16	Date	1	0	1
1991-08-02	Date	1	0	1
1991-09-06	Date	1	0	1
