tag	category	total	roms	images
Animal Crossing	NeedsReview	17	0	17
Hack	HackOrPatchCredit	17	16	1
Beta 16	Preview	16	0	16
Music Program	NeedsReview	16	16	0
Othello Multivision	NeedsReview	16	0	16
Proto 3	Preview	16	1	15
Rev 4	Revision	16	0	16
2S	NeedsReview	15	0	15
Alt 2	Revision	15	2	13
Canada	Region	15	1	14
Collection of Mana	NeedsReview	15	0	15
De	Region	15	1	14
Disc B	Disc	15	0	15
En,Ja,Fr,De	Language	15	0	15
Es	Region	15	4	11
Mega Drive Mini 2, Genesis Mini 2	Platform	15	0	15
QUByte Classics	NeedsReview	15	0	15
Taikenban	NeedsReview	15	0	15
Virtual Console, Switch Online	Platform	15	3	12
Waixing	NeedsReview	15	11	4
v1.5	Revision	15	13	2
v2.0	Revision	15	13	2
1S	NeedsReview	14	0	14
Beta 17	Preview	14	0	14
CGB+SGB Enhanced	NeedsReview	14	0	14
Disc A	Disc	14	0	14
Disney Classic Games	Label	14	1	13
FABT	NeedsReview	14	0	14
Hummer Team	NeedsReview	14	5	9
Kiosk, GameCube	Preview+Platform	14	0	14
Netcard	NeedsReview	14	0	14
Norway	Region	14	0	14
Premium Box	NeedsReview	14	0	14
f	NeedsReview	14	14	0
4S	NeedsReview	13	0	13
Arcade	Platform	13	1	12
Debug	NeedsReview	13	0	13
Digital	NeedsReview	13	9	4
En,Fr,De,Es,Nl,Sv	Language	13	0	13
En,Ja,Fr,De,Es	Language	13	0	13
Hong Kong	Region	13	0	13
Japan, Australia	Region	13	0	13
SGB Enhanced, GB Compatible	NeedsReview	13	0	13
Super Game	NeedsReview	13	7	6
e-Reader	Platform	13	0	13
e-Reader Edition	Platform	13	13	0
Beta 18	Preview	12	0	12
Beta 19	Preview	12	0	12
Castlevania Advance Collection	NeedsReview	12	0	12
Disk 3	Disc	12	12	0
En,De,Es,Nl,Sv	Language	12	0	12
En,Fr,De,Es,It,Nl,Sv,No,Da,Fi	Language	12	0	12
En,Fr,De,Es,It,Pt,Sv,No	Language	12	1	11
En,Zh	Language	12	6	6
Finland	Region	12	0	12
Fr,Nl	Language	12	0	12
Idea-Tek	NeedsReview	12	10	2
JP - FastROM Hack by Kandowontu	HackOrPatchCredit	12	12	0
Ka Sheng	NeedsReview	12	8	4
Konami Collector's Series	NeedsReview	12	6	6
Mega Man Legacy Collection	NeedsReview	12	6	6
NA, Rev 2	Region+Revision	12	12	0
NESDev Compo 2016	NeedsReview	12	12	0
Namco Museum Archives Vol 2	NeedsReview	12	6	6
RE-1	NeedsReview	12	0	12
SC-3000	NeedsReview	12	0	12
Sega CD 32X	NeedsReview	12	0	12
The Disney Afternoon Collection	NeedsReview	12	6	6
v1.01	Revision	12	11	1
3S	NeedsReview	11	0	11
Demo 3	Preview	11	5	6
En,De,Es,It	Language	11	0	11
En,Fr,De,Es,It,Nl,Pt	Language	11	0	11
En,Fr,De,Es,Sv	Language	11	0	11
Enhancement Chip	NeedsReview	11	0	11
Europe, Asia	Region	11	6	5
Intellivision Lives!	Platform	11	0	11
Marvel MaXimum Collection	NeedsReview	11	0	11
PlayStation the Best	Platform	11	0	11
Sly Dog Studios	NeedsReview	11	11	0
Special Disc	NeedsReview	11	0	11
Steam	Platform	11	1	10
11M	NeedsReview	10	0	10
3DS Virtual Console	Platform	10	4	6
Alt 1	Revision	10	0	10
Atari Anthology	NeedsReview	10	0	10
Cowabunga Collection, The	NeedsReview	10	0	10
Disc 5	Disc	10	0	10
En,Fr,De,Es,It,Nl,Da	Language	10	0	10
En,Fr,De,Es,Nl	Language	10	0	10
En,Fr,It	Language	10	0	10
English Translated by Zoinkity	TranslationCredit	10	10	0
IE Institute	NeedsReview	10	0	10
Imagineer	NeedsReview	10	0	10
ModRetro Chromatic	NeedsReview	10	0	10
NINA-06	NeedsReview	10	6	4
NTDEC	NeedsReview	10	8	2
Sachen	NeedsReview	10	4	6
Subor Keyboard	NeedsReview	10	10	0
v1.4	Revision	10	8	2
5M	NeedsReview	9	0	9
Atari Lynx Collection 1	Platform	9	0	9
Auto Demo	NeedsReview	9	0	9
Beta 20	Preview	9	0	9
Character Unlock Patch by Gallaux - NA	HackOrPatchCredit	9	9	0
Columbus Circle	NeedsReview	9	0	9
EU - Disc 1	Disc+Region	9	9	0
EU - Disc 2	Disc+Region	9	9	0
English Translated	TranslationCredit	9	9	0
Korean	Region	9	9	0
Mega-CD 32X	NeedsReview	9	0	9
NA - Disc 4	Disc+Region	9	9	0
Namco	NeedsReview	9	4	5
Namcot Collection, Namco Museum Archives Vol 2	NeedsReview	9	5	4
Retro-Bit Generations	NeedsReview	9	2	7
Robert L Bryant	NeedsReview	9	9	0
Shokai Tokutenban	NeedsReview	9	0	9
v0.1	Revision	9	9	0
1995	NeedsReview	8	4	4
60 pin cart	NeedsReview	8	7	1
C&E	NeedsReview	8	5	3
En,Fr,De,Es,It,Nl,Pt,Sv,No,Da	Language	8	0	8
En,Ru	Language	8	0	8
Famicom 3D System	Platform	8	4	4
Fukyuuban	NeedsReview	8	0	8
GDI	NeedsReview	8	0	8
J-Cart	NeedsReview	8	0	8
Limited Edition	NeedsReview	8	2	6
NESDev 2017	NeedsReview	8	8	0
NOD	NeedsReview	8	0	8
PSone Books	NeedsReview	8	0	8
RE2	NeedsReview	8	0	8
Rev 5	Revision	8	1	7
Sega Ages	NeedsReview	8	0	8
Side 1	Disc	8	8	0
Side 2	Disc	8	8	0
Strictly Limited Games	Label	8	0	8
The Game	NeedsReview	8	0	8
UNROM	NeedsReview	8	8	0
prototype	Preview	8	8	0
sai	NeedsReview	8	0	8
set 2	NeedsReview	8	8	0
v0.01	Revision	8	6	2
v0.02	Revision	8	7	1
v1.02	Revision	8	7	1
Beta 21	Preview	7	0	7
Datach	NeedsReview	7	0	7
Deluxe Pack	NeedsReview	7	0	7
Disc 0	Disc	7	0	7
En,Fr,De,Es,It,Nl,Pt,Da	Language	7	0	7
En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi	Language	7	0	7
En,It	Language	7	0	7
En,Nl	Language	7	0	7
English Translated by KingMike's Translations	TranslationCredit	7	7	0
Es,It,Pt	Language	7	0	7
Fr,De,Nl	Language	7	0	7
Game no Kanzume Otokuyou	NeedsReview	7	0	7
It	Region	7	0	7
JP, Rev 2	Region+Revision	7	7	0
Made in USA	NeedsReview	7	0	7
Mega Soft	NeedsReview	7	7	0
Micro Genius	NeedsReview	7	7	0
NA, Rev 1 - FastROM Hack by Kandowontu	HackOrPatchCredit	7	7	0
Ocean	NeedsReview	7	5	2
Prototype - Disc 1	Disc+Preview	7	7	0
Prototype - Disc 2	Disc+Preview	7	7	0
SEGA Classic Collection	NeedsReview	7	0	7
Track 01	NeedsReview	7	7	0
Track 02	NeedsReview	7	7	0
Track 03	NeedsReview	7	7	0
Track 04	NeedsReview	7	7	0
Track 05	NeedsReview	7	7	0
