tag	total	roms	images
English Translated and Uncensored Patch by Darkmoon2321, Rev 1.1	1	1	0
English Translated by Acediez	1	1	0
English Translated by Acediez, Rev 1.3	1	1	0
English Translated by Adventurous Translations, Rev 0.96	1	1	0
English Translated by Aeon Genesis With Epyon Unlocked Patch by CF, Rev 1.1	1	1	0
English Translated by Aeon Genesis With FastROM Hack by Kandowontu, Rev 1.1	1	1	0
English Translated by Aeon Genesis, Rev 0.95b	1	1	0
English Translated by Aeon Genesis, Rev 1.01 With Deluxe Version Patch by BobSchneeder45, Rev 2	1	1	0
English Translated by Aethin, Rev 1.04	1	1	0
English Translated by Aishsha	1	1	0
English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.0.1	1	1	0
English Translated by Aishsha, Paul_met, and Stardust Crusaders, Rev 1.3.1	1	1	0
English Translated by Aishsha, Rev 1.1b	1	1	0
English Translated by AlanMidas Cant.hack With Fixes by Jordiway73, Rev 1.1	1	1	0
English Translated by Alex Kid, Darkfalzx, and Simon Fang, Rev 2022-01-20b	1	1	0
English Translated by Arcraith, Rev 1.1	1	1	0
English Translated by Asiwish, Rev 1.2 With FastROM Hack by Kandowontu	1	1	0
English Translated by BST, Rev 2.08 With Grind-Be-Gone and Swiss Manicure Patches	1	1	0
English Translated by Bankbank	1	1	0
English Translated by Ben128	1	1	0
English Translated by Bulk Slash English Localization Team, Rev 1.001	1	1	0
English Translated by CF	1	1	0
English Translated by Cabbage and Shawn Cox	1	1	0
English Translated by Campanella999	1	1	0
English Translated by Cargodin, EsperKnight, Gwendolyn, and PSXCraver	1	1	0
English Translated by Cargodin, Rev 1.3	1	1	0
English Translated by Chapu, Miniomegaking, PSXCraver, and Vervalkon	1	1	0
English Translated by Chris Covell With Alt Font and Controls Patch by KingMike's Translations	1	1	0
English Translated by Chris M. Covell	1	1	0
English Translated by ChristopheF, Rev 2	1	1	0
English Translated by Cirosan	1	1	0
English Translated by DDSTranslation	1	1	0
English Translated by Dave Shadoff	1	1	0
English Translated by Dave Shadoff and Diogo Ribeiro	1	1	0
English Translated by Dave Shadoff, Filler, and Diogo Ribeiro	1	1	0
English Translated by Dave Shadoff, Filler, and Tomaitheous	1	1	0
English Translated by Dave Shadoff, MooZ, and Diogo Ribeiro	1	1	0
English Translated by Demiforce	1	1	0
English Translated by Denim	1	1	0
English Translated by Diogo Ribeiro	1	1	0
English Translated by Django	1	1	0
English Translated by DrGoldfire	1	1	0
English Translated by DvD Translations	1	1	0
English Translated by Eight Mansions, Rev 0.95.9	1	1	0
English Translated by EsperKnight	1	1	0
English Translated by Esperknight, CJ_Iwakura, and Others	1	1	0
English Translated by FCandChill	1	1	0
English Translated by FCandChill, Filler, TheMajinZenki, and Graphicus	1	1	0
English Translated by Filler and Cabbage	1	1	0
English Translated by Filler, Tomaitheous, EsperKnight, and Grant Laughlin	1	1	0
English Translated by FlashPV	1	1	0
English Translated by Fothsid, Rev 1.1	1	1	0
English Translated by GameHacking.org and Victini378, Rev 1.03	1	1	0
English Translated by GammaTrove	1	1	0
