tag	total	roms	images
Kyoko Disc	4	0	4
Landsphere	4	0	4
NES-BK	4	2	2
NESDev 2022	4	4	0
NESDev Compo 2014	4	4	0
NINA-03	4	2	2
Namco Museum Archives Vol 1	4	2	2
Psytronik - 2013	4	4	0
R4 + JogCon	4	0	4
RE1	4	0	4
Second Window	4	0	4
Seiryuu	4	0	4
Simplified	4	2	2
Snake	4	2	2
Snake Disc	4	0	4
Sonic Classic Collection	4	0	4
Soviet	4	0	4
Super Mega	4	2	2
Suzaku	4	0	4
TND - 2021	4	4	0
TND - 2022	4	4	0
Track 14	4	4	0
Track 15	4	4	0
Track 16	4	4	0
Track 17	4	4	0
Track 18	4	4	0
Track 19	4	4	0
Track 20	4	4	0
Track 21	4	4	0
Wind & Fang Tu	4	0	4
Zeon Disc	4	0	4
iam8bit	4	2	2
v0.22-132	4	4	0
+1 Tasu Ichi	3	0	3
1-A	3	3	0
1-B	3	3	0
1-G	3	3	0
12M	3	0	3
1993	3	2	1
1M, 3M	3	0	3
2019	3	3	0
20M	3	0	3
3A	3	0	3
Activision	3	1	2
Airwalk Studios	3	3	0
Aleste Collection	3	0	3
Angelique History	3	0	3
Antonio Savona - 2019	3	3	0
Best Wing 2800	3	0	3
Best of the Best	3	0	3
Bonus Disc	3	0	3
Chuukan	3	0	3
Damian Yerrick	3	3	0
Das Spiel	3	0	3
Digital Version	3	3	0
Dragon Co.	3	2	1
En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It	3	0	3
En,Pt-BR	3	2	1
En-US,En-GB,Fr,De,Es,It	3	0	3
Evolution Disc	3	0	3
Extendo UnCut Edition	3	3	0
Extract	3	0	3
Final	3	1	2
Firebird	3	3	0
Fukkokuban	3	0	3
Fukyuuban 1500	3	0	3
GMod2	3	3	0
GTROM	3	3	0
Game no Kanzume Vol. 1	3	0	3
GameVillage The Best	3	0	3
Gentei Box	3	0	3
Go! Go! Casino	3	0	3
Gran Turismo	3	0	3
Haplo - 2022	3	3	0
Houkai-hen	3	0	3
Hwang Shinwei	3	2	1
Ice Team - 2013	3	3	0
In	3	0	3
Jou	3	2	1
Kitmaker	3	0	3
Kyouchou-hen	3	0	3
Le Jeu	3	0	3
MAX	3	3	0
Making Disc	3	0	3
NESDev 2016	3	3	0
NESDev Compo 2011	3	3	0
NESDev Compo 2017	3	3	0
Not For Resale	3	1	2
Omake CD	3	0	3
Part 1	3	3	0
Part 2	3	3	0
Players	3	2	1
Pokemon Channel	3	0	3
Premium CD-ROM	3	0	3
Press Down, Circle, Down, Right, Circle to Set to English	3	3	0
RE125	3	0	3
Reprint	3	0	3
RetroZone	3	2	1
Road Blaster	3	0	3
SG Enhanced	3	0	3
Second Dimension	3	2	1
Sega	3	2	1
Sega Reactor	3	0	3
Sega Smash Pack	3	0	3
Seiken Densetsu Collection	3	0	3
Simulation Mode	3	0	3
Songbird	3	0	3
Special Edition	3	0	3
SuperVision	3	2	1
TKROM	3	3	0
TND - 2019	3	3	0
Taito	3	1	2
Tech Demo	3	1	2
Test Drive	3	0	3
Thunder Storm	3	0	3
Track 1	3	3	0
Track 2	3	3	0
Track 22	3	3	0
Track 23	3	3	0
Traditional	3	2	1
Trial Edition	3	2	1
Tsang Hai	3	3	0
UNROM-512	3	3	0
You	3	0	3
emu	3	0	3
0100396	2	1	1
0100551	2	1	1
047	2	1	1
09-034A PCB	2	1	1
10.13-10.15 Incl.	2	0	2
15S	2	0	2
16 Fighters	2	1	1
16 People	2	2	0
1989-12-xx	2	1	1
1A	2	0	2
2002 Version - EU	2	2	0
200314121	2	1	1
2003SR7416	2	1	1
21M	2	0	2
2A	2	0	2
2B	2	0	2
4 characters	2	1	1
4-G	2	2	0
4-in-1	2	0	2
5S, 6S	2	0	2
6S	2	0	2
761214 PCB	2	1	1
8 Fighters	2	1	1
8 characters	2	1	1
8-bit Adventure Anthology - Volume I	2	0	2
960100549	2	1	1
970100588	2	1	1
970100681	2	1	1
970260	2	1	1
970307	2	1	1
970498	2	1	1
980005	2	1	1
980186	2	1	1
981208	2	1	1
A	2	0	2
A-N7	2	1	1
A-N8	2	1	1
A-Q3	2	2	0
AB CARD-15	2	1	1
AP009	2	1	1
Action 53 Version	2	2	0
Age of Empires	2	2	0
Alternative Software	2	2	0
ArchiMENdes Hen	2	1	1
Arlasoft - 2020	2	2	0
Arlasoft - 2022	2	2	0
Asder	2	2	0
B	2	0	2
Bandai the Best	2	0	2
Bensheng	2	2	0
Bit Corp.	2	0	2
Blue Version	2	1	1
Build 132	2	2	0
C	2	0	2
CK-001	2	1	1
CRL	2	2	0
Can Bani Himekuri Calendar	2	0	2
Carleton Handley - 2020	2	2	0
Centaurus	2	2	0
Chiki-Chiki Dog	2	1	1
Chronicles of Arthur	2	0	2
Claire-hen	2	0	2
Co Tung	2	1	1
Color Dreams	2	1	1
Commodore	2	2	0
Competition Cart, Nintendo Power mail-order	2	0	2
Compilation by Meduza Team, Rev 2.51	2	2	0
Conector	2	1	1
Controller Doukon Set	2	0	2
Cony Soft	2	2	0
Creative Software	2	2	0
DSI	2	0	2
DX	2	1	1
DX Pack	2	0	2
De+En,Fr,De,Es,It,Nl,Sv,Da	2	0	2
DigiCube Best Selection	2	0	2
Digital Release	2	2	0
Double Density - 1990	2	2	0
Doukonban	2	0	2
Dracula Detective	2	0	2
Dragon Quest IV	2	2	0
Dual Shock Edition	2	0	2
ECP	2	2	0
EJ-4003	2	1	1
EPROM	2	1	1
Easy Version	2	1	1
Easy Zapping	2	0	2
Elite	2	2	0
En,Fr,De+En,Fr,De,Es	2	0	2
En,Ja,Zh-Hant	2	0	2
Ending Credits Program	2	1	1
Enhanced	2	1	1
Episode 1 - Tsuki no Shinden	2	0	2
Episode 2 - Shitou! Wily Numbers	2	0	2
Episode 3 - Saigo no Tatakai!!	2	0	2
Es+En,Fr,De,Es,It,Nl,Sv,Da	2	0	2
EverQuest	2	2	0
FAAT, FACT	2	0	2
FC-28 5027	2	1	1
FK-8380	2	1	1
Fast Tanks	2	0	2
Fine Studio	2	1	1
Fr+En,Fr,De,Es,It,Nl,Sv,Da	2	0	2
From Tokimeki Memorial - JP	2	2	0
Front Mission History	2	0	2
GB Showdown	2	0	2
GDI Disc	2	0	2
Ge	2	1	1
Ge De	2	1	1
Genteiban!	2	1	1
Gouder	2	1	1
Grand Trial Onnanoco	2	0	2
Green Disc	2	0	2
Hi-Tec - Unreleased	2	2	0
Hibaihin	2	0	2
Hilarious AI English Dub by Sideside	2	2	0
Honpen Game Sen'you	2	0	2
Hoshi no Kirby - 20 Shuunen Special Collection	2	0	2
Ichi	2	0	2
International Version	2	0	2
It+En,Fr,De,Es,It,Nl,Sv,Da	2	0	2
J-C5	2	1	1
JP - Disc 1 - Time Gal	2	2	0
JP - Disc 2 - Ninja Hayate	2	2	0
JP - Disc 2 - Road Blaster	2	2	0
Japanese	2	2	0
Japanese Version	2	0	2
Java Tea Original	2	0	2
K-F1	2	1	1
KS-7017	2	2	0
KS-7050	2	2	0
Kemco	2	1	1
Kids Station Controller Set	2	0	2
Kirby's Dream Collection - Special Edition	2	0	2
Koudansha Rengou Kikaku Tokubetsu Disc	2	0	2
Kyugo	2	1	1
LA02	2	2	0
LA21	2	2	0
LC Games - 2022	2	2	0
LH31	2	2	0
Launch Cart	2	0	2
Leon-hen	2	0	2
Let's Surogoku	2	0	2
Ludum Dare 38	2	2	0
Ludum Dare 49	2	2	0
M-O9	2	1	1
MAX v02	2	2	0
Made in E.U.	2	0	2
Made in U.S.A.	2	0	2
Mars Production	2	1	1
Mega Man X Collection	2	0	2
Mega Power, Sega Pro	2	0	2
Megastyle - 2022	2	2	0
Meinu Quan	2	1	1
Menu	2	0	2
Midway Classics	2	0	2
Mr Micro	2	2	0
NA - Disc 1 - Allies	2	2	0
NA - Disc 1 - GDI	2	2	0
NA - Disc 2 - NOD	2	2	0
NA - Disc 2 - Soviet	2	2	0
NES-N7	2	1	1
NESDev 2011	2	2	0
NESDev 2014	2	2	0
NESDev 2018	2	2	0
NOD Disc	2	0	2
NROM	2	2	0
NT-6079	2	1	1
NT-6088	2	1	1
NT-622	2	1	1
NT-656	2	1	1
Namco Anthology 1	2	1	1
Nanjing	2	2	0
Nei-Hu	2	1	1
Nescafe-ban	2	0	2
Ni	2	0	2
Ninja Hayate	2	0	2
NintendoAge	2	2	0
Nioreh	2	2	0
No Sound	2	2	0
Normalized	2	2	0
Otameshi Disc	2	0	2
PAL-MA-0	2	1	1
PAL-MC-0, Classic Series	2	1	1
PCB	2	2	0
Part A	2	0	2
Part B	2	0	2
Part One	2	0	2
Part Two	2	0	2
Password Version	2	0	2
Pokemon Box	2	0	2
Preliminary Speed Version	2	2	0
Preview Edition by Namco	2	0	2
Princess Kurara	2	0	2
Project EGG	2	1	1
Psytronik - 2012	2	2	0
Psytronik - 2016	2	2	0
Putative Proto	2	0	2
R-B1	2	1	1
RC.2	2	2	0
RCM Group	2	1	1
RE3	2	0	2
Rabbit Software	2	2	0
Reinhart Version	2	0	2
Renkaban	2	0	2
S-R2	2	1	1
SA-002 3011 PCB	2	1	1
SA-016 PCB	2	1	1
SABS	2	0	2
SCUS-94489	2	0	2
SGROM	2	2	0
SN 406	2	1	1
SNS-XM	2	0	2
Samar Productions	2	2	0
Scott Holder	2	2	0
Sega Smash Pack 2	2	0	2
SegaNet	2	0	2
Shindou Edition	2	0	2
Shockwave - Invasion Earth	2	0	2
Shockwave - Operation Jumpgate	2	0	2
Shokai Gentei Deluxe Pack	2	0	2
Shokai Gentei Seisanban	2	0	2
Shokai Gentei Special Box	2	0	2
Shokai Tokuten Reinhart Genteiban	2	0	2
Shokai Tokuten Yan Genteiban	2	0	2
Shouhin Golf Tournament US Course	2	1	1
Simultaneous 2 Player Game	2	0	2
Sonic Mega Collection	2	0	2
Sound Data	2	2	0
Sovietiques	2	0	2
Space General	2	2	0
Spike Library	2	0	2
Star Fox - Assault	2	0	2
Subor	2	1	1
Sumaru TV Special Preview Disc	2	0	2
Super 308	2	1	1
Super Mario All-Stars - 25th Anniversary	2	0	2
Super Mega Drive 3	2	0	2
Supercom	2	1	1
T-A1	2	1	1
TGROM	2	2	0
TND - 2000	2	2	0
TND - 2001	2	2	0
TND - 2002	2	2	0
TND - 2005	2	2	0
TND - 2013	2	2	0
TND - 2015	2	2	0
TND - 2016	2	2	0
TND - 2017	2	2	0
TND - 2023	2	2	0
TONY-I PCB	2	1	1
Taisen Game Sen'you	2	0	2
The First Generation	2	0	2
The Making of	2	0	2
The Power House	2	2	0
Time Gal	2	0	2
Track 24	2	2	0
Track 25	2	2	0
Track 26	2	2	0
Track 27	2	2	0
Track 28	2	2	0
Track 29	2	2	0
Track 3	2	2	0
Track 30	2	2	0
Track 31	2	2	0
Track 32	2	2	0
Track 33	2	2	0
Track 34	2	2	0
Track 35	2	2	0
Track 36	2	2	0
Track 37	2	2	0
Track 38	2	2	0
VPick Included	2	0	2
Vector5 Games - 2022	2	2	0
Version 4	2	0	2
Very Easy Version	2	1	1
Victor	2	1	1
Visual Demo	2	2	0
Vivendi	2	0	2
Vol. 1 - Toki no Maigo	2	0	2
Wings of Destiny	2	0	2
Xianfeng	2	2	0
YS-612 PCB	2	1	1
YUNG-08 PCB	2	1	1
Ya Se Chuanshuo	2	0	2
Young Chivalry	2	2	0
Zh-Hans	2	0	2
Zh-Hant	2	0	2
Zhenhua	2	2	0
ghostlop	2	2	0
ironclad	2	2	0
set 3	2	2	0
vA1	2	0	2
www.retroPLAYER.nl	2	2	0
'94.9.1 Version 1.0	1	0	1
'95.8.1 Version 1.0 R2.0	1	0	1
'96 Tokyo Omocha Show	1	0	1
0.10b	1	1	0
0.26	1	1	0
0100382	1	1	0
0100703	1	1	0
0100705	1	1	0
0100725	1	1	0
05838962	1	0	1
1 EPROM	1	0	1
10.11-10.13 Incl.	1	0	1
10M, 11M	1	0	1
10M, 11M, 12M, 13M	1	0	1
10M, 12M	1	0	1
10S	1	0	1
12S	1	0	1
150-in-1 Real Game	1	1	0
15M	1	0	1
18 Fighter	1	1	0
1982	1	0	1
1982 Version	1	1	0
1983	1	0	1
1983-08-xx	1	0	1
1983-xx-xx	1	0	1
1988-11-xx	1	0	1
1989-xx-xx	1	1	0
1991	1	1	0
1998-07-05T180056	1	0	1
1998-07-05T215532	1	0	1
1998-07-14T022124	1	0	1
1998-07-14T181500	1	0	1
1B-004, EB-004, Sachen	1	0	1
1JAM-Loop	1	1	0
1M, 2M, 3M	1	0	1
1M, 2M, 4M	1	0	1
1M, 2MB2	1	0	1
1M, 3M, 4M	1	0	1
1M, 5M	1	0	1
2 EPROMs	1	0	1
2 Types	1	0	1
2000-06-xx	1	0	1
2000-07-16T211412	1	0	1
2000-07-16T220245	1	0	1
2000-08-xx	1	0	1
2004SR01259	1	1	0
2004SR05368	1	1	0
2006SR04301	1	1	0
2006SR04303	1	1	0
2006SR04307	1	1	0
2006SR04308	1	1	0
2007, November	1	1	0
2011	1	1	0
2014	1	1	0
2019-xx-xx	1	1	0
2020	1	1	0
2020bb	1	1	0
2020bba	1	1	0
2020bbh	1	1	0
2021	1	1	0
2021 Jam Version	1	0	1
22M	1	0	1
23M	1	0	1
245-in-1 Real Game	1	1	0
256KiB	1	0	1
2A, 2B	1	0	1
2M, 4M	1	0	1
2M, 5M	1	0	1
2M1, 2MB1	1	0	1
2M2	1	0	1
2MB3	1	0	1
2nd Print Edition	1	1	0
30C	1	0	1
31B, 34C	1	0	1
31B-001, Sachen	1	0	1
32B, 37A, 37M	1	0	1
32M	1	0	1
32X CD	1	0	1
35B, 35C	1	0	1
36B, 36C	1	0	1
39B	1	0	1
3A, 3B	1	0	1
3A, 3C	1	0	1
3DO Magazine - Issue 10	1	0	1
3DO Training Educational System	1	0	1
3M, 4M, 5M, 6M	1	0	1
3R	1	0	1
3countb	1	1	0
40M	1	0	1
41M	1	0	1
42M	1	0	1
4A, 4B	1	0	1
4B-001, 4B-009, 8B-001, Sachen	1	0	1
4B-002, 4B-004, 8B-002, Sachen	1	0	1
4B-005, 4B-006, 8B-003, Sachen	1	0	1
4B-007, 4B-008, 8B-004, Sachen	1	0	1
4M, 5M	1	0	1
5-in-1	1	0	1
5-in-1 - NA	1	1	0
512KiB	1	0	1
5A	1	0	1
5R, 6R	1	0	1
60 Hz	1	0	1
64'er	1	1	0
7M	1	0	1
7M, 10M	1	0	1
7M, 9M, 10M	1	0	1
8 People	1	1	0
879cbea	1	1	0
8M, 13M	1	0	1
8M, 9M	1	0	1
8S, 12S	1	0	1
8S, 9S, 17S	1	0	1
8d96be2	1	1	0
9 Fighter	1	1	0
960100577	1	1	0
960268	1	1	0
960270	1	1	0
960415	1	1	0
960418	1	1	0
970100587	1	1	0
970100684	1	1	0
970158	1	1	0
970266	1	1	0
970487	1	1	0
970489	1	1	0
970493	1	1	0
980100026	1	1	0
980100029	1	1	0
980100295	1	1	0
980100461	1	1	0
980185	1	1	0
980334	1	1	0
980337	1	1	0
980340	1	1	0
980342	1	1	0
980584	1	1	0
980816	1	1	0
990031	1	1	0
A-N2	1	1	0
A8FE	1	0	1
A8FP	1	0	1
AA1201	1	1	0
AES Ori	1	1	0
AFMJ	1	0	1
AI - EU	1	1	0
AS300	1	1	0
ASN 0097	1	1	0
AZTP	1	0	1
AZTX	1	0	1
Accolade	1	0	1
Action 53	1	1	0
Add-on	1	0	1
Addition	1	0	1
Adventure Kid, Power Block, Twin Mouse, and Cave Dude - AU	1	1	0
Adventurer and Code Cracker - EU	1	1	0
Akai - Ichimonji - Yae	1	0	1
Aladdin Compact Cartridge, Plug-Thru	1	0	1
Alligata	1	1	0
Alt A	1	1	0
Alt B	1	1	0
Alt C	1	1	0
