tag	total	roms	images
NA - Re-Dub Patch by Casey Mongillo, Kira Buckland, Eddie Correa Jr., and Others	1	1	0
NA - Red Blood Patch by DarkSamus993	1	1	0
NA - Red Blood Patch by Ortew	1	1	0
NA - Red Blood Patch by Takashi	1	1	0
NA - Reforged Patch by Mziab, FlamePurge, SeiichiroMine, and Kevan33, Rev 1.01	1	1	0
NA - Restored Progression Patch by CrazyMLC	1	1	0
NA - SA-1 Patch by Bosn, Rev 1.2	1	1	0
NA - SA-1 Patch by MaxwelOlinda With 2 Player Hack by VCG	1	1	0
NA - SA-1 Patch by Vitor Vilela, Rev 1.1 Base With SA-1 Origin Patch	1	1	0
NA - SA-1 Patch by Vitor Vilela, Rev 1.2	1	1	0
NA - SA-1 Patch by Vitor Vilela, Rev 1.2 With Japanese Features Restoration Patch by SCD, Rev Final	1	1	0
NA - SA-1 Patch by Vitor Vilela, Rev 1.4	1	1	0
NA - SA-1 Patch by Vitor Vilela, Rev 1.7 Base With SA-1 Origin Patch by GuyPerfect	1	1	0
NA - SRAM Patch by Yoshifanatic	1	1	0
NA - Secret Characters Unlocked Patch by BillyTime! Games	1	1	0
NA - Secret Characters Unlocked Patch by Gallaux	1	1	0
NA - Sound Canvas Patch by Shadowmask	1	1	0
NA - Standalone Disc Patch by MrMario2011, Rev 2	1	1	0
NA - Stereo Patch by Sluffy	1	1	0
NA - SuperFX Hack by Kandowontu	1	1	0
NA - The Last Hope Remastered Patch by Kaiseran, Rev 2.5	1	1	0
NA - The Lion War Patch by The Lion War Team, Rev 2.031, With Video Patch	1	1	0
NA - The Oath Patch by Kaiseran, Rev 8.2	1	1	0
NA - True Analogs Patch by VanLaser, Rev 1.52	1	1	0
NA - True Analogs Patch by VanLaser, Rev 1.52 With Undub Patch by Swosho, Rev 1.1b	1	1	0
NA - Un-Working Designs Patch by Supper	1	1	0
NA - Un-Working Designs Patch by Supper, Rev 0	1	1	0
NA - Un-Working Designs Patch by Terrorgrafx, Rev 2	1	1	0
NA - Uncensored Patch and Bugfixes by Chronosplit, Rev Rebuilt Fe	1	1	0
NA - Uncensored Patch by Navarchos, Rev 1.12a With Dengeki Store Fix and Subbed FMV Addition by Swosho, Rev 1.1	1	1	0
NA - Uncensored Patch by Ortew, Rev 1.1	1	1	0
NA - Uncensored Patch by SCD, Rev Final	1	1	0
NA - Uncensored Patch by ShadowOne333, Rev 2.1 With U.S. Font, U.S. Chain Whip SFX, and U.S. Title Screen Patches With FastROM Hack by Vitor Vilela, Rev 1.1	1	1	0
NA - Uncensored Undub Patch by Sakitoshi, Rev 1.2	1	1	0
NA - Undub Patch by Acediez, Rev 1.4	1	1	0
NA - Undub Patch by BloodRaynare	1	1	0
